"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-22T03:01:11","2026-05-22","11.885","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-22T09:01:11","2026-05-22","11.999","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-21T09:01:11","2026-05-21","11.18","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-22T04:01:11","2026-05-22","11.781","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-21T10:01:11","2026-05-21","11.312","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-22T10:01:11","2026-05-22","12.198","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-22T12:01:11","2026-05-22","12.897","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-22T05:01:11","2026-05-22","11.717","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-21T11:01:11","2026-05-21","11.489","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-21T12:01:11","2026-05-21","11.661","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-22T06:01:11","2026-05-22","11.702","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-21T13:01:11","2026-05-21","11.844","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-21T14:01:11","2026-05-21","12.11","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-22T11:01:11","2026-05-22","12.5","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-21T15:01:11","2026-05-21","12.364","","Unchecked",""
